frame,true_pos_x,true_pos_y,spoofed_pos_x,spoofed_pos_y,true_velocity_x,spoofed_velocity_x,true_accel_x,spoofed_accel_x
0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0
1,5.5,5.5,5.5,5.5,0.5,0.5,0.0,0.0
2,6.0,6.0,6.0,6.0,0.5,0.5,0.5,0.5
3,6.5,6.5,6.5,6.5,0.5,0.5,0.0,0.0
4,7.0,7.0,7.0,7.0,0.5,0.5,0.0,0.0
5,7.5,7.5,7.5,7.5,0.5,0.5,0.0,0.0
6,8.0,8.0,8.0,8.0,0.5,0.5,0.0,0.0
7,8.5,8.5,8.5,8.5,0.5,0.5,0.0,0.0
8,9.0,9.0,9.0,9.0,0.5,0.5,0.0,0.0
9,9.5,9.5,9.5,9.5,0.5,0.5,0.0,0.0
10,10.0,10.0,10.0,10.0,0.5,0.5,0.0,0.0
11,10.5,10.5,10.5,10.5,0.5,0.5,0.0,0.0
12,11.0,11.0,11.0,11.0,0.5,0.5,0.0,0.0
13,11.5,11.5,11.5,11.5,0.5,0.5,0.0,0.0
14,12.0,12.0,12.0,12.0,0.5,0.5,0.0,0.0
15,12.5,12.5,12.5,12.5,0.5,0.5,0.0,0.0
16,13.0,13.0,13.0,13.0,0.5,0.5,0.0,0.0
17,13.5,13.5,13.5,13.5,0.5,0.5,0.0,0.0
18,14.0,14.0,14.0,14.0,0.5,0.5,0.0,0.0
19,14.5,14.5,14.5,14.5,0.5,0.5,0.0,0.0
20,15.0,15.0,15.0,15.0,0.5,0.5,0.0,0.0
21,15.5,15.5,15.55,15.55,0.5,0.5500000000000007,0.0,0.0
22,16.0,16.0,16.2,16.2,0.5,0.6499999999999986,0.0,0.05000000000000071
23,16.5,16.5,16.95,16.95,0.5,0.75,0.0,0.09999999999999787
24,17.0,17.0,17.8,17.8,0.5,0.8500000000000014,0.0,0.10000000000000142
25,17.5,17.5,18.75,18.75,0.5,0.9499999999999993,0.0,0.10000000000000142
26,18.0,18.0,19.8,19.8,0.5,1.0500000000000007,0.0,0.09999999999999787
27,18.5,18.5,20.95,20.95,0.5,1.1499999999999986,0.0,0.10000000000000142
28,19.0,19.0,22.2,22.2,0.5,1.25,0.0,0.09999999999999787
29,19.5,19.5,23.55,23.55,0.5,1.3500000000000014,0.0,0.10000000000000142
30,20.0,20.0,25.0,25.0,0.5,1.4499999999999993,0.0,0.10000000000000142
31,20.5,20.5,26.55,26.55,0.5,1.5500000000000007,0.0,0.09999999999999787
32,21.0,21.0,28.2,28.2,0.5,1.6499999999999986,0.0,0.10000000000000142
33,21.5,21.5,29.950000000000003,29.950000000000003,0.5,1.7500000000000036,0.0,0.09999999999999787
34,22.0,22.0,31.8,31.8,0.5,1.8499999999999979,0.0,0.10000000000000497
35,22.5,22.5,33.75,33.75,0.5,1.9499999999999993,0.0,0.09999999999999432
36,23.0,23.0,35.8,35.8,0.5,2.049999999999997,0.0,0.10000000000000142
37,23.5,23.5,37.95,37.95,0.5,2.1500000000000057,0.0,0.09999999999999787
38,24.0,24.0,40.2,40.2,0.5,2.25,0.0,0.10000000000000853
39,24.5,24.5,42.55,42.55,0.5,2.3499999999999943,0.0,0.09999999999999432
40,25.0,25.0,45.0,45.0,0.5,2.450000000000003,0.0,0.09999999999999432
41,25.5,25.5,47.55,47.55,0.5,2.549999999999997,0.0,0.10000000000000853
42,26.0,26.0,50.2,50.2,0.5,2.6500000000000057,0.0,0.09999999999999432
43,26.5,26.5,52.95,52.95,0.5,2.75,0.0,0.10000000000000853
44,27.0,27.0,55.8,55.8,0.5,2.8499999999999943,0.0,0.09999999999999432
45,27.5,27.5,58.75,58.75,0.5,2.950000000000003,0.0,0.09999999999999432
46,28.0,28.0,61.800000000000004,61.800000000000004,0.5,3.0500000000000043,0.0,0.10000000000000853
47,28.5,28.5,64.95,64.95,0.5,3.1499999999999986,0.0,0.10000000000000142
48,29.0,29.0,68.2,68.2,0.5,3.25,0.0,0.09999999999999432
49,29.5,29.5,71.55000000000001,71.55000000000001,0.5,3.3500000000000085,0.0,0.10000000000000142
