x,y,z
10,1,0
10,1.1,0.1
10,0.9,-0.1
10,-1,0
10,-1.1,0.1
10,-0.9,-0.1
11,1,0
11,1.2,0.15
11,0.8,-0.15
11,-1,0
11,-1.2,0.15
11,-0.8,-0.15
12,1,0
12,1.1,0.1
12,0.9,-0.1
12,-1,0
12,-1.1,0.1
12,-0.9,-0.1
13,1,0
13,1.2,0.15
13,0.8,-0.15
13,-1,0
13,-1.2,0.15
13,-0.8,-0.15
14,1,0
14,1.1,0.1
14,0.9,-0.1
14,-1,0
14,-1.1,0.1
14,-0.9,-0.1
15,1,0
15,1.2,0.15
15,0.8,-0.15
15,-1,0
15,-1.2,0.15
15,-0.8,-0.15
20,5,0
20,5.1,0.1
20,4.9,-0.1
20,-5,0
20,-5.1,0.1
20,-4.9,-0.1
25,10,0
25,10.1,0.1
25,9.9,-0.1
25,-10,0
25,-10.1,0.1
25,-9.9,-0.1
